date,symbol,news_count,avg_sentiment
2023-07-07,USDJPY,10,0.871140
2023-07-07,AUDUSD,13,0.086923
2023-07-07,USDCAD,16,0.116281
2023-07-07,XAUUSD,6,0.927017
2023-07-08,EURUSD,5,-0.025300
2023-07-08,GBPUSD,0,0.000000
2023-07-08,USDJPY,0,0.000000
2023-07-08,AUDUSD,2,0.276200
2023-07-08,USDCAD,1,-0.711100
2023-07-08,XAUUSD,0,0.000000
2023-07-09,EURUSD,2,0.170000
2023-07-09,GBPUSD,0,0.000000
2023-07-09,USDJPY,0,0.000000
2023-07-09,AUDUSD,2,0.146950
2023-07-09,USDCAD,1,0.361200
2023-07-09,XAUUSD,0,0.000000
2023-07-10,EURUSD,30,0.132760
2023-07-10,GBPUSD,0,0.000000
2023-07-10,USDJPY,3,0.658367
2023-07-10,AUDUSD,15,0.156600
2023-07-10,USDCAD,9,0.231611
2023-07-10,XAUUSD,2,0.834250
2023-07-11,EURUSD,31,0.137903
2023-07-11,GBPUSD,0,0.000000
2023-07-11,USDJPY,5,0.565320
2023-07-11,AUDUSD,8,0.123938
2023-07-11,USDCAD,7,-0.180457
2023-07-11,XAUUSD,1,0.996100
2023-07-12,EURUSD,29,0.310679
2023-07-12,GBPUSD,0,0.000000
2023-07-12,USDJPY,7,0.155014
2023-07-12,AUDUSD,15,0.128707
2023-07-12,USDCAD,16,0.204888
2023-07-12,XAUUSD,1,0.990600
2023-07-13,EURUSD,29,0.147024
2023-07-13,GBPUSD,0,0.000000
2023-07-13,USDJPY,3,0.679633
2023-07-13,AUDUSD,17,0.173100
2023-07-13,USDCAD,12,0.080367
2023-07-13,XAUUSD,3,-0.008600
2023-07-14,EURUSD,27,0.065637
2023-07-14,GBPUSD,0,0.000000
2023-07-14,USDJPY,4,0.843425
2023-07-14,AUDUSD,13,0.370323
2023-07-14,USDCAD,8,0.145450
2023-07-14,XAUUSD,2,0.878600
2023-07-15,EURUSD,1,0.978900
2023-07-15,GBPUSD,0,0.000000
2023-07-15,USDJPY,0,0.000000
2023-07-15,AUDUSD,2,0.546250
2023-07-15,USDCAD,0,0.000000
2023-07-15,XAUUSD,0,0.000000
2023-07-16,EURUSD,2,0.113150
2023-07-16,GBPUSD,0,0.000000
2023-07-16,USDJPY,0,0.000000
2023-07-16,AUDUSD,1,-0.612400
2023-07-16,USDCAD,0,0.000000
2023-07-16,XAUUSD,0,0.000000
2023-07-17,EURUSD,24,0.165033
2023-07-17,GBPUSD,0,0.000000
2023-07-17,USDJPY,2,0.936100
2023-07-17,AUDUSD,18,0.014433
2023-07-17,USDCAD,9,0.221456
2023-07-17,XAUUSD,1,0.984200
2023-07-18,EURUSD,35,-0.042409
2023-07-18,GBPUSD,0,0.000000
2023-07-18,USDJPY,2,0.930100
2023-07-18,AUDUSD,20,-0.011760
2023-07-18,USDCAD,12,0.104883
2023-07-18,XAUUSD,3,0.992500
2023-07-19,EURUSD,24,0.141229
2023-07-19,GBPUSD,0,0.000000
2023-07-19,USDJPY,9,0.519522
2023-07-19,AUDUSD,14,-0.036307
2023-07-19,USDCAD,9,-0.029400
2023-07-19,XAUUSD,0,0.000000
2023-07-20,EURUSD,30,0.089830
2023-07-20,GBPUSD,0,0.000000
2023-07-20,USDJPY,4,0.911200
2023-07-20,AUDUSD,18,0.173222
2023-07-20,USDCAD,7,-0.037243
2023-07-20,XAUUSD,1,0.931300
2023-07-21,EURUSD,29,0.120976
2023-07-21,GBPUSD,0,0.000000
2023-07-21,USDJPY,7,0.698257
2023-07-21,AUDUSD,14,0.100500
2023-07-21,USDCAD,9,-0.188433
2023-07-21,XAUUSD,0,0.000000
2023-07-22,EURUSD,0,0.000000
2023-07-22,GBPUSD,0,0.000000
2023-07-22,USDJPY,0,0.000000
2023-07-22,AUDUSD,2,-0.369500
2023-07-22,USDCAD,1,-0.102700
2023-07-22,XAUUSD,0,0.000000
2023-07-23,EURUSD,4,-0.186775
2023-07-23,GBPUSD,0,0.000000
2023-07-23,USDJPY,0,0.000000
2023-07-23,AUDUSD,2,0.189000
2023-07-23,USDCAD,1,0.340000
2023-07-23,XAUUSD,0,0.000000
2023-07-24,EURUSD,34,-0.026759
2023-07-24,GBPUSD,0,0.000000
2023-07-24,USDJPY,2,0.604550
2023-07-24,AUDUSD,15,0.080407
2023-07-24,USDCAD,9,0.327433
2023-07-24,XAUUSD,2,0.985350
2023-07-25,EURUSD,34,-0.194044
2023-07-25,GBPUSD,0,0.000000
2023-07-25,USDJPY,2,0.973350
2023-07-25,AUDUSD,11,0.439691
2023-07-25,USDCAD,10,-0.098680
2023-07-25,XAUUSD,1,0.985800
2023-07-26,EURUSD,24,0.066992
2023-07-26,GBPUSD,0,0.000000
2023-07-26,USDJPY,3,0.811600
2023-07-26,AUDUSD,14,-0.031221
2023-07-26,USDCAD,9,0.130833
2023-07-26,XAUUSD,0,0.000000
